prompt,contributor,comment
Review my Resume and Cover Letter in my Google Docs. Identify key achievements and strengths and suggest a revised LinkedIn profile summary and headline tailored to my target role. Recommend 3 YouTube tutorials on personal branding for LinkedIn.,@godofprompt,"From godofprompt.ai guide — trending because Gemini's Docs integration enables quick, personalized profile revamps."
"Analyze my Gmail for conversations labeled 'B2B Prospects' from the last 3 months. Rank threads by engagement and industry relevance, extract next-step recommendations, and draft prioritized follow-up messages.",@godofprompt,Popular sales workflow prompt from the godofprompt.ai list that leverages Gmail scanning to improve outreach.
"Summarize this email thread and extract all action items, assigned owners, and deadlines in bullet points.",@tomsguide,Tom's Guide daily-use prompt — trending for rapidly catching up on long email chains and getting clear actionables.
Look at this photo of my pantry (uploaded) and create three balanced dinner recipes using only the visible ingredients. For each recipe include missing-ingredient shopping list and estimated prep/cook time.,@tomsguide,Highlighted by Tom's Guide as a high-value visual-analysis prompt that turns images into practical meal plans.
"Act as a career coach: review the pasted resume and LinkedIn summary, list strengths and weaknesses, propose 3 tailored career paths, and give a 90-day action plan plus a concise cover letter for each path.",@trend-bot,Combines role-play and structured guidance trends (featured across user guides) for actionable career planning.
"Create a project timeline for '[project name]' with 8 key milestones, deadlines, dependencies, owners, and a short risk mitigation plan for each milestone.",@clickup,"ClickUp's productivity prompts are trending for project managers who want fast, structured timelines and risk analysis."
Rewrite the pasted paragraph in a more persuasive and concise tone for LinkedIn; preserve accomplishments and produce 3 alternative headline options.,@clickup,Common ClickUp prompt for polishing professional copy and headlines to boost engagement.
"Brainstorm 10 creative blog post ideas about [topic] for [target audience]; for each idea provide a short outline, suggested headline, and 2 SEO keywords.",@clickup,ClickUp's content-generation prompts are trending among marketers for fast idea-to-outline workflows.
"Convert these unorganized trip notes into a structured itinerary table with dates, times, booking links, estimated costs, and a packing checklist.",@google,Inspired by the Gemini API prompt gallery (trip recommendations) — trending for rapid travel planning and table structuring.
"Teach me quadratic equations: give a concise lesson, 5 practice problems of increasing difficulty, step-by-step solutions, and a short study plan to master the topic.",@google,From the Gemini API prompt gallery 'Math Tutor' example — trending among educators and learners for interactive lessons and practice sets.
Review my Resume and Cover Letter in my Google Docs. Identify key achievements and strengths; suggest a revised LinkedIn profile summary and headline tailored to [industry]; recommend YouTube tutorials on personal branding to improve my online presence.,@trend-bot,Popular business prompt for LinkedIn/profile optimization; inspired by godofprompt.ai's Gemini examples.
"Analyze my Gmail labeled 'B2B Prospects' from the last 3 months. Rank conversations by engagement and industry relevance, extract key insights, and provide prioritized follow-up templates.",@trend-bot,Trending for sales teams to prioritize leads and action items; based on examples in the godofprompt.ai guide.
"Scan my Gmail for customer emails from the last week. Summarize each thread, prioritize by urgency and business impact, and draft suggested replies for the top three.",@Tomsguide,Email triage and reply-drafting is a high-value daily workflow highlighted by Tom's Guide.
"Create a project timeline for [project name] with [N] key milestones, deadlines, dependencies, resource assignments, and a short risk mitigation plan.",@ClickUp,Productivity staple from ClickUp's prompt list; widely used to standardize project planning.
"Give me 10 blog post ideas about [topic] for [target audience], provide suggested headlines and primary keywords, and include a 300-word outline for the top idea.",@ClickUp,High-demand content marketing prompt for idea generation and SEO-focused outlines; popular in ClickUp's recommendations.
"Rewrite the following text: [paste text]. Convert it to a [professional/casual/persuasive] tone suitable for [platform], shorten to X% length, and produce a 2-line subject/preview.",@ClickUp,Common content polishing prompt for adapting tone and length across channels; recommended in productivity guides.
"Act as an expert [role, e.g., career coach/marketing consultant]. Based on this situation [describe], give structured advice and a 6-week action plan with measurable milestones.",@Tomsguide,"Role-playing prompts provide personalized, actionable plans; frequently cited by Tom's Guide users."
"Convert this natural-language constraint into a regular expression: [describe pattern]. Provide the regex, a brief explanation, and 5 example test strings (matches and non-matches).",@googleai,Developer-focused prompt from the Gemini API prompt gallery; trending for fast regex generation and explanations.
"Given this Python function [paste code], generate comprehensive unit tests covering edge cases, list its time complexity, and suggest targeted optimizations to improve performance.",@googleai,From the Gemini API cookbook — popular among developers for rapid test generation and complexity analysis.
"Translate this document [paste text] into [language], preserve the requested formality level ([formal/informal]), localize idioms, and note any cultural considerations or alternate phrasings.",@ClickUp,Widely used localization/translation prompt for professional documents; highlighted in productivity prompt collections.
