prompt,contributor,comment
Conduct comprehensive pricing research for [PRODUCT/SERVICE] with competitor analysis and cite all sources used,@trend-bot,"From Claude business prompt guides trending for detailed, citation‑aware pricing strategy work"
Perform a comprehensive market segmentation analysis for [PRODUCT/SERVICE] and provide tailored marketing strategies per segment,@trend-bot,Common Claude template used in business guides to generate actionable audience strategies
Analyze top trending topics in [industry] over the past 30 days and identify 5 content gaps with headlines and target keywords,@trend-bot,SEO prompt from Airops that helps creators find high‑opportunity topics and is widely reused
Predict the top 5 seasonal trending topics for the upcoming [season/holiday] with content angles and estimated search growth,@trend-bot,Seasonal trend predictor prompt popular for planning timely SEO and content calendars
You are an AI assistant with a witty sense of humor; generate original puns and wordplay for the topic [X],@trend-bot,From Anthropic's Claude prompt library featured by Tom's Guide and trending for playful creative use
Provide a dream interpretation for this description and explain symbolism emotions and reflective questions,@trend-bot,Dream analysis prompt from Anthropic's library that went viral for personal insight interactions
Generate personalized recipe ideas from these ingredients and dietary preferences with ingredient list and simple instructions,@trend-bot,Practical Claude kitchen prompt highlighted in the official prompt library and widely shared
Act as an avant‑garde fashion advisor and suggest futuristic outfit concepts tailored to user style and body type,@trend-bot,Tom's Guide pick from Anthropic library trending for creative styling and MidJourney prompt generation
Meta prompt engineer: produce reusable Claude prompt templates for [TASK] including system role examples and variations,@yzfly,From the 'awesome-claude-prompts' GitHub by @yzfly a trending resource for prompt authors and power users
Create a detailed content brief for a 2000 word article including outline target audience key takeaways and suggested references,@trend-bot,FavTutor and other lists surface this practical writing brief prompt that's trending among content teams
"You are an AI assistant with a witty sense of humor and a knack for crafting clever puns and wordplay. When a user provides a topic, generate a list of original puns, play-on-words, and humorous phrases related to that topic.",@anthropic,"From Anthropic's Claude 3 prompt library (noted in Tom's Guide); trending for light, viral creative uses."
"You are an AI assistant with a deep understanding of dream interpretation and symbolism. After the user describes their dream, provide insightful analyses of symbols, emotions, and narratives and offer reflective questions.",@trend-bot,Popular from Anthropic's prompt library; users are engaging Claude for personal introspection and viral 'what my dream means' threads.
"Given a list of available ingredients and any dietary preferences or restrictions, suggest 3–5 recipe ideas with brief descriptions, ingredient lists, simple step-by-step instructions, and substitutions for common allergens.",@trend-bot,"High usage prompt from Claude libraries (Tom's Guide) — practical, saves time, and widely shared on social media."
"Act as an avant‑garde fashion advisor: ask about the user's style, body type and preferences, then propose 4 futuristic outfit concepts with key pieces, materials, color palettes, styling tips, and a MidJourney prompt for each.",@trend-bot,From Anthropic examples — trending with creators who pair Claude output with image models for fashion/visual content.
"Build a 30-day content calendar for [platform] in the [niche] space. Include 3 weekly themes, proposed post types (text, carousel, short video), 30 post ideas, suggested captions, CTAs, and a publishing schedule.",@aihustleguy,One of the top creator prompts (AI Hustle Guy); trending among marketers and creators for rapid content production.
"Write a 60-second Instagram Reels script on [topic] with a 5-second hook, three concise points, suggested visuals/cuts, sound cues, and a CTA to follow or engage.",@aihustleguy,Short-form video prompts are highly viral — helps creators iterate fast and is recommended in 2024 Claude prompt lists.
"Write a 7-tweet viral thread on [topic] that begins with a strong curiosity hook, uses short punchy sentences, includes 2 examples/analogies, and ends with a clear CTA to follow or share.",@aihustleguy,From AI Hustle Guy's top prompts; trending for social growth and replicable viral formats.
"Act as an expert business consultant and conduct comprehensive pricing research for [PRODUCT/SERVICE]. Analyze price elasticity, competitor pricing strategies, suggested tiers, and MOST IMPORTANT: cite all sources and include a references list.",@trend-bot,Reflects Claude templates seen on godofprompt.ai and Claude response examples — trending for startups and product managers who need defensible pricing.
"Analyze multiple uploaded documents (reports, transcripts, datasets) up to 100k tokens and produce a consolidated executive summary, key insights, prioritized action items, and a short slide-outline for stakeholders.",@yzfly,Leveraging Claude's long-context strength (noted in langgptai repo); trending for knowledge workers needing cross-document synthesis.
"Create a complete marketing campaign for [product]: 10 ad copy variations, recommended channels, audience targeting, a 3-week A/B testing plan, budget allocation, and KPIs to track.",@trend-bot,"Based on marketing prompt collections (godofprompt.ai, AI Hustle Guy); trending as marketers automate campaign ideation and testing plans."
