prompt,contributor,comment
"Act as a startup COO and produce a 12-month operational roadmap that prioritizes customer acquisition, retention, and unit economics. Include key milestones, metrics (CAC, LTV, churn), resource needs, and a weekly sprint breakdown.",@curated,"Business strategy"
"You are an industry analyst. Generate a concise 5-point market-entry strategy for launching a SaaS product in the SMB accounting space in North America, including pricing model experiments, distribution channels, regulatory considerations, and top three risks with mitigations.",@curated,"Market entry"
"As a VP of Product, create a prioritized product roadmap using RICE scoring for the next two quarters for a mobile consumer app focused on habit formation. Provide outcomes, success metrics, and proposed experiments for each item.",@curated,"Product roadmap"
"Review this company profile: [paste company profile]. Provide three operational optimizations to improve gross margin by 5% within 6 months, with expected impact and implementation steps.",@curated,"Operational improvement"
"Draft an internal one-page playbook for scaling customer support from 3 to 30 agents in six months, covering hiring plan, training syllabus, KPIs, tooling, and escalation matrix.",@curated,"Support scaling"
"Create a scenario-based financial model outline for SaaS revenue forecasting under three scenarios (conservative, base, aggressive) and list the assumptions needed for each.",@curated,"Financial modeling"
"Write a full marketing funnel sequence for a new content marketing tool: (a) high-level positioning statement, (b) three cold email variants, (c) four social media posts for LinkedIn, (d) a 60-second product video script, and (e) an onboarding email drip for new users.",@curated,"Marketing funnel"
"Generate ten high-converting Google Search ad headlines and descriptions for a weekly meal-planning subscription targeting busy professionals aged 25-45.",@curated,"Ad copy"
"Produce a month-long content calendar for Instagram with 12 post captions, suggested visuals, hashtags, and CTAs aimed at increasing engagement for a sustainable fashion brand.",@curated,"Social calendar"
"Rewrite this product landing page copy to be clearer, more benefit-driven, and optimized for conversions (include H1, subheading, three feature bullets, and CTA): [paste existing copy].",@curated,"Landing page"
"Create an influencer outreach template to pitch a collaboration for a B2C wellness app, tailored to micro-influencers (10k-50k followers), including subject lines and follow-up sequence.",@curated,"Influencer outreach"
"Draft five email subject lines and preheaders for a re-engagement campaign to win back churned users of a productivity app.",@curated,"Email re-engagement"
"Act as an SEO specialist. Given keyword '[primary keyword]' produce a 1,500-word blog outline with H1/H2/H3 headings, suggested word counts, semantic keywords to include, meta description, and three internal linking suggestions.",@curated,"SEO brief"
"Audit the provided page content: [paste content]. Identify on-page SEO issues, recommend improved title tags/meta descriptions, URL structure, schema suggestions, and a 3-step optimization plan.",@curated,"SEO audit"
"Generate 25 long-tail keyword ideas with search intent labels (informational, commercial, transactional) for niche 'home espresso machines' and propose topic clusters.",@curated,"Keyword research"
"Perform a competitor feature gap analysis for product category '[category]'. Given competitors A, B, C, list unique features, missing fundamentals, pricing comparison, and three opportunities for differentiation.",@curated,"Competitor analysis"
"Summarize public customer reviews for competitor [competitor name] by sentiment, top praise themes, top complaints, and recommended product fixes or messaging adjustments.",@curated,"Review analysis"
"Create a one-page competitive positioning matrix comparing price, target segment, core features, and brand voice for five competitors, and recommend a distinct positioning statement.",@curated,"Positioning matrix"
"You are a prompt engineer. Convert this vague task '[user task here]' into a step-by-step prompt template with system instruction, few-shot examples, expected input/output schema, and validation tests.",@curated,"Prompt engineering"
"Provide a meta-prompt that instructs a model to self-critique its answer against a checklist of factuality, completeness, and conciseness, then produce a revised response.",@curated,"Self-critique meta-prompt"
"Create a reusable prompt template that adapts tone and level of detail based on user persona inputs (novice, technical, executive) with example outputs.",@curated,"Adaptive persona template"
"Craft 10 short viral social prompts (text only) designed to spark comments and shares on LinkedIn for founders — each under 220 characters and with clear CTA.",@curated,"Viral LinkedIn prompts"
"Write five TikTok video scripts (30-45s) for 'before/after' product stories that are easy to film and optimized for viewer retention.",@curated,"TikTok scripts"
"Produce seven community-engagement templates for Discord: onboarding message, weekly challenge prompt, two AMA questions, feedback survey, and a retention reward announcement.",@curated,"Community templates"
"Create a character profile including background, motivations, secret desires, and a conflict they must overcome.",@curated,"Character & Plot Development"
"Invent an unusual setting and write a short scene where characters interact with this environment.",@curated,"Character & Plot Development"
"Describe a protagonist's worst fear, and craft a story in which they must confront it in an unexpected way.",@curated,"Character & Plot Development"
"Give me a three-act structure outline for a story about [your topic], emphasizing themes such as growth or transformation.",@curated,"Character & Plot Development"
"Rewrite this conversation to sound natural and full of subtext.",@curated,"Dialogue & Voice"
"Draft a dialogue-only scene showing two characters arguing about a secret one of them is hiding.",@curated,"Dialogue & Voice"
"Write this paragraph so it reads as genuine inner thoughts instead of narrative exposition.",@curated,"Dialogue & Voice"
"Generate 20 unexpected story ideas using the following ingredients: [list your ideas/interests].",@curated,"Brainstorming and Ideation"
"Suggest unique headline ideas or hooks for a story about [theme].",@curated,"Brainstorming and Ideation"
"Help me brainstorm a fantasy magic system based on emotions or memories.",@curated,"Brainstorming and Ideation"
"Rewrite my scene to intensify the sensory details - sight, sound, smell, touch, and taste.",@curated,"Scene Building & Sensory Details"
"Describe how light and color in a movie scene would convey mood and emotion.",@curated,"Scene Building & Sensory Details"
"Compose a poem about loss in the style of [poet's name].",@curated,"Genre & Mood"
"Write a story where time stops every time someone tells a lie. Explore how this changes society.",@curated,"Genre & Mood"
"Write a short commercial script emphasizing visual storytelling.",@curated,"Genre & Mood"
"Create a sci-fi short story inspired by a recent scientific breakthrough or technological advance.",@curated,"Genre & Mood"
"Edit this paragraph to remove fluff and make it clearer, but keep it conversational.",@curated,"Revision & Editing"
"Identify repetitive phrases and suggest fresher ways to phrase the same ideas.",@curated,"Revision & Editing"
"Suggest where my plot could use a twist or stronger emotional punch.",@curated,"Revision & Editing"
